<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170308,114500,1.0557900,1.0561000,1.0552000,1.0556700,22205
20170308,120000,1.0557300,1.0560000,1.0549000,1.0555400,18440
20170308,121500,1.0555500,1.0556500,1.0545000,1.0552900,22084
20170308,123000,1.0552600,1.0554400,1.0545000,1.0550000,21186
20170308,124500,1.0550000,1.0553700,1.0546000,1.0552700,17371
20170308,130000,1.0552600,1.0560000,1.0550000,1.0555700,18793
20170308,131500,1.0555000,1.0556800,1.0549000,1.0555600,15645
20170308,133000,1.0556400,1.0560700,1.0554000,1.0559700,17156
20170308,134500,1.0559700,1.0560000,1.0553000,1.0559100,16647
20170308,140000,1.0558600,1.0562400,1.0553000,1.0556400,16767
20170308,141500,1.0556900,1.0560500,1.0551000,1.0557900,18318
20170308,143000,1.0557900,1.0559800,1.0555000,1.0558000,15836
20170308,144500,1.0557900,1.0562100,1.0552000,1.0560200,17466
20170308,150000,1.0560100,1.0561000,1.0557000,1.0559400,12606
20170308,151500,1.0560200,1.0562000,1.0553000,1.0558900,14941
20170308,153000,1.0559400,1.0559400,1.0549000,1.0554000,17913
20170308,154500,1.0553800,1.0556000,1.0548000,1.0555700,17515
20170308,160000,1.0555000,1.0560000,1.0547000,1.0557100,23778
20170308,161500,1.0557500,1.0560000,1.0550000,1.0556600,21387
20170308,163000,1.0555900,1.0555900,1.0533000,1.0542200,42963
20170308,164500,1.0543000,1.0550700,1.0539000,1.0545900,28958
20170308,170000,1.0548100,1.0556300,1.0542000,1.0553200,23406
20170308,171500,1.0553700,1.0560000,1.0548000,1.0555300,28198
20170308,173000,1.0555400,1.0561600,1.0551000,1.0557300,22998
20170308,174500,1.0558000,1.0561000,1.0550000,1.0554100,25671
20170308,180000,1.0554200,1.0562500,1.0551000,1.0553700,28558
20170308,181500,1.0553800,1.0561300,1.0551000,1.0557900,26292
20170308,183000,1.0558000,1.0560000,1.0552000,1.0557400,24759
20170308,184500,1.0558100,1.0560000,1.0551000,1.0556600,23599
20170308,190000,1.0557000,1.0560400,1.0551000,1.0556300,26385
20170308,191500,1.0556500,1.0558000,1.0549000,1.0553700,26251
20170308,193000,1.0552900,1.0556000,1.0543600,1.0545000,23311
20170308,194500,1.0545800,1.0550000,1.0541000,1.0547000,22241
20170308,200000,1.0547100,1.0550000,1.0543000,1.0546300,17285
20170308,201500,1.0546400,1.0548500,1.0536000,1.0538100,17551
20170308,203000,1.0537600,1.0544700,1.0535000,1.0543500,15022
20170308,204500,1.0543300,1.0545300,1.0538000,1.0541700,15929
20170308,210000,1.0541700,1.0544800,1.0533000,1.0535900,18638
20170308,211500,1.0536300,1.0543700,1.0534000,1.0539500,23290
20170308,213000,1.0539800,1.0548900,1.0537000,1.0548100,20075
20170308,214500,1.0548300,1.0550400,1.0543000,1.0547900,17805
20170308,220000,1.0547400,1.0550500,1.0544000,1.0546400,13258
20170308,221500,1.0548000,1.0548800,1.0541000,1.0544900,16306
20170308,223000,1.0544600,1.0546800,1.0540000,1.0546700,17286
