<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150730,000000,1.0980400,1.0989400,1.0892000,1.0930000,1581448
20150731,000000,1.0930200,1.1114100,1.0918000,1.0982700,1740528
20150801,000000,1.0982700,1.0986000,1.0979900,1.0980400,109
20150802,000000,1.0965000,1.0984400,1.0964000,1.0972100,847
20150803,000000,1.0972000,1.0995900,1.0939000,1.0949800,1404934
20150804,000000,1.0948400,1.0990000,1.0877000,1.0880600,1576854
20150805,000000,1.0879500,1.0934000,1.0846000,1.0905500,1601234
20150806,000000,1.0903800,1.0935600,1.0872000,1.0922800,1438786
20150807,000000,1.0923100,1.0978400,1.0854000,1.0964700,1507354
20150808,000000,1.0964300,1.0965200,1.0961700,1.0961700,41
20150809,000000,1.0966000,1.0973000,1.0960500,1.0963000,1535
20150810,000000,1.0959600,1.1041400,1.0923000,1.1017900,1343712
20150811,000000,1.1017600,1.1088300,1.0958000,1.1040500,1783558
20150812,000000,1.1040700,1.1214000,1.1023100,1.1156100,1803888
20150813,000000,1.1155100,1.1189000,1.1079000,1.1148300,1571500
20150814,000000,1.1148300,1.1190000,1.1096000,1.1107000,1427058
20150815,000000,1.1107900,1.1112000,1.1104000,1.1104000,181
20150816,000000,1.1112900,1.1119900,1.1106900,1.1119400,1243
20150817,000000,1.1111900,1.1124900,1.1057900,1.1075500,1366874
20150818,000000,1.1076600,1.1093800,1.1015000,1.1020800,1363918
20150819,000000,1.1022600,1.1134200,1.1015000,1.1119600,1706513
20150820,000000,1.1118600,1.1244700,1.1104000,1.1240900,1701436
20150821,000000,1.1238900,1.1388700,1.1226000,1.1383300,1957916
20150822,000000,1.1384900,1.1393000,1.1377600,1.1383600,382
20150823,000000,1.1375000,1.1382800,1.1368000,1.1374400,411
20150824,000000,1.1376000,1.1714000,1.1367000,1.1615500,2835925
20150825,000000,1.1617100,1.1621800,1.1394000,1.1514200,2598933
20150826,000000,1.1514200,1.1561200,1.1290000,1.1311300,2512826
20150827,000000,1.1311700,1.1364300,1.1201000,1.1243000,2018726
20150828,000000,1.1245200,1.1310000,1.1154100,1.1184900,1733668
20150829,000000,1.1184900,1.1184900,1.1177000,1.1179800,53
20150830,000000,1.1171000,1.1184000,1.1158000,1.1172000,3696
20150831,000000,1.1170900,1.1262600,1.1168100,1.1208600,1414675
20150901,000000,1.1209500,1.1332200,1.1205000,1.1312900,2042342
20150902,000000,1.1312500,1.1319300,1.1215000,1.1224600,1663308
20150903,000000,1.1225600,1.1243400,1.1085000,1.1122800,1720412
20150904,000000,1.1121300,1.1189700,1.1088000,1.1142700,1712580
20150905,000000,1.1151000,1.1151000,1.1148200,1.1149000,22
20150906,000000,1.1159600,1.1165000,1.1151900,1.1158800,4073
